idUsuario;idTMWCliente
0040d208-90ac-4e0b-9835-b541105c7a1f;2c6d3b24-5926-40c4-9eca-bbe98376b06e
0045ec1f-2759-49a8-a9cb-110079862ceb;5b649d3f-46ca-4afc-9fdc-554e85631b1a
0061afe5-f9d5-4084-8cda-14e83d2279be;c6ba4404-a0a9-49ba-8519-c2773580678c
0094785f-be95-4dcd-8b96-e6b70e98bae7;ff5d2399-6b53-49f0-b41e-fdaaa0da172a
00d876d0-e13f-424a-949d-bab522d1f38e;cc10338f-4128-4385-af0d-ea63aac09362
00f5f5bb-45c4-4b8d-bd7f-f831ec8dd5c3;141ac7e4-e497-4171-8653-fd5c6b47f1aa
01197a43-b8ef-4fc4-bc66-6c245e802382;7dd1d9f2-867c-41e9-ba77-4090124e33fb
014ce49e-73ab-43fc-9b1d-6f9548fca0bf;db0a41ae-ba83-432c-a204-7284b315f88e
0154adad-7ab1-434b-b36d-4c3c5afcc198;c118b656-d791-45a1-8dcd-041000a17411
015d2db4-b2dd-49c5-8e8d-96d7d7664f2c;2ff011e5-3734-42a7-a44c-185286afdd7d
01a641ea-323e-4e95-9940-959d6d470c91;c44444c6-9eeb-4b1e-82b1-ea20ef15ddd4
01bf4c77-64a1-45b8-8146-90194ee79fa6;5964c688-8822-4c7d-bea7-00c8340209c5
01c12e47-47f9-47a1-b6ff-de1d1b3a2655;b533f4b5-b2a4-43c5-a468-19c55e40aa5d
01ee2620-5587-4a7f-b1c4-da292ba73598;9ecf240c-2fe7-4b7f-9175-57ec05e34934
0209124f-eae1-4689-859b-d42950422ad0;94670f35-ada6-47ae-8193-d52bba48438b
020aca2a-e058-4946-8863-e48707aff634;3eca31ca-d210-400a-91f0-7176bc71d237
025443bd-a455-4efa-93fa-031ae217b62d;fea95103-cef1-4bf4-9b72-3af3191e8705
02a3fb95-1dd1-449d-839f-a65a7f151a70;acee2df0-44f4-47fb-9a10-33f93e2b3df0
02d1da0c-634b-4d96-8e26-8cb4789a1ec5;5282a2ba-ff8c-409d-b697-a4dc4d5688ad
02e31b18-6cc4-4ce9-8498-5769d12373f5;14f2c729-2dc7-4f66-b8e2-40cf5c004e83
0387b8cc-58ee-4c6d-b5c3-e1dd7628726a;5b49dc98-494a-4428-96e8-9c9d5f5ccb48
0397f365-fe24-485a-aad7-f0a57c8ecfcc;bad66fee-efb2-4d96-a61d-b54dcc7bc08d
03a27411-2d35-449a-b542-6c769e95737b;8a647d47-b722-469f-949d-6b628bdda823
03bcde3e-f401-47ab-978b-12338bca4b01;5ec5e047-ea74-4ed2-b108-ada482163f42
04180cf0-1f17-4852-971e-6d1ba2a84275;5131914f-55dd-4f08-8903-9ebfd6381f37
049147b1-24a6-4f98-8ddf-311e20dab654;71300d61-4cac-4e57-941b-01fc89fc3d8a
04b2b5d9-1fa7-46be-8973-901313c9f130;55ec6d6b-14a8-4f66-9fa5-4f4acd0257ef
04d50722-0008-4851-a421-5788cb2a5567;cf1876ff-0935-4951-8f0e-579afd9099f6
04d5db67-8d4d-45ee-9a16-2bb028a518c4;ca35412d-b340-4e7d-a391-020ec6bb6517
051136e6-3faa-4077-9f68-4ce4eb8dcd13;aa2b205d-65a7-4c42-bf6e-3ddfe517aaa1
0547f46e-20ed-48a4-815c-6b4448ee4ee5;906fe8e3-64e4-42ac-8b28-4bcd4f1dbdda
054deb54-f29c-490c-841f-429ffd757675;61899195-700c-4b38-b206-2539af23e4aa
05c48085-3245-4e03-9cbc-f1bcd4224e6c;18948cd3-98df-42c9-8478-460697db9120
06137866-117b-4486-aad0-1da5b6a5823a;5295a06d-fc3a-4218-8db0-51fa6474df76
061a4b69-0fa8-4080-a3be-5dbd00bd7311;584186d7-f412-4500-8150-3c41379aea3b
